"Estado","Total","a�o","sexo","Instituci�n","numerocasos"
"Durango",2708,"2003","F","DIF","0"
"Guanajuato",12773,"2003","F","DIF","0"
"Guerrero",11880,"2003","F","DIF","0"
"Hidalgo",156,"2003","F","DIF","0"
"Jalisco",23377,"2003","F","DIF","0"
"México",2813,"2003","F","DIF","4"
"Michoacán",14178,"2003","F","DIF","0"
"Morelos",14922,"2003","F","DIF","0"
"Nayarit",6635,"2003","F","DIF","3"
"Nuevo León",243,"2003","F","DIF","0"
"Oaxaca",2374,"2003","F","DIF","0"
"Puebla",7887,"2003","F","DIF","0"
"Querétaro",2259,"2003","F","DIF","0"
"Quintana Roo",54,"2003","F","DIF","0"
"San Luis Potosi",138,"2003","F","DIF","0"
"Sinaloa",4161,"2003","F","DIF","13"
"Sonora",6676,"2003","F","DIF","0"
"Tabasco",28,"2003","F","DIF","0"
"Tamaulipas",294,"2003","F","DIF","0"
"Tlaxcala",14,"2003","F","DIF","0"
"Veracruz",145,"2003","F","DIF","0"
"Yucatán",41,"2003","F","DIF","0"
"Zacatecas",1417,"2003","F","DIF","0"
"Aguascalientes",675,"2003","F","PEMEX","0"
"Baja California",42,"2003","F","PEMEX","0"
"Baja California Sur",39,"2003","F","PEMEX","0"
"Campeche",34,"2003","F","PEMEX","0"
"Coahuila",49,"2003","F","PEMEX","0"
"Colima",4644,"2003","F","PEMEX","0"
"Chiapas",110,"2003","F","PEMEX","0"
"Chihuahua",255,"2003","F","PEMEX","0"
"Distrito Federal",139,"2003","F","PEMEX","1"
"Durango",2708,"2003","F","PEMEX","0"
"Guanajuato",12773,"2003","F","PEMEX","0"
"Guerrero",11880,"2003","F","PEMEX","0"
"Hidalgo",156,"2003","F","PEMEX","3"
"Jalisco",23377,"2003","F","PEMEX","0"
"México",2813,"2003","F","PEMEX","0"
"Michoacán",14178,"2003","F","PEMEX","0"
"Morelos",14922,"2003","F","PEMEX","0"
"Nayarit",6635,"2003","F","PEMEX","0"
"Nuevo León",243,"2003","F","PEMEX","0"
"Oaxaca",2374,"2003","F","PEMEX","0"
"Puebla",7887,"2003","F","PEMEX","0"
"Querétaro",2259,"2003","F","PEMEX","0"
"Quintana Roo",54,"2003","F","PEMEX","0"
"San Luis Potosi",138,"2003","F","PEMEX","0"
"Sinaloa",4161,"2003","F","PEMEX","0"
"Sonora",6676,"2003","F","PEMEX","0"
"Tabasco",28,"2003","F","PEMEX","0"
"Tamaulipas",294,"2003","F","PEMEX","6"
"Tlaxcala",14,"2003","F","PEMEX","0"
"Veracruz",145,"2003","F","PEMEX","0"
"Yucatán",41,"2003","F","PEMEX","0"
"Zacatecas",1417,"2003","F","PEMEX","0"
"Aguascalientes",675,"2003","F","SEDENA","0"
"Baja California",42,"2003","F","SEDENA","0"
"Baja California Sur",39,"2003","F","SEDENA","0"
"Campeche",34,"2003","F","SEDENA","0"
"Coahuila",49,"2003","F","SEDENA","0"
"Colima",4644,"2003","F","SEDENA","4"
"Chiapas",110,"2003","F","SEDENA","0"
"Chihuahua",255,"2003","F","SEDENA","0"
"Distrito Federal",139,"2003","F","SEDENA","0"
"Durango",2708,"2003","F","SEDENA","4"
"Guanajuato",12773,"2003","F","SEDENA","45"
"Guerrero",11880,"2003","F","SEDENA","32"
"Hidalgo",156,"2003","F","SEDENA","0"
"Jalisco",23377,"2003","F","SEDENA","16"
"México",2813,"2003","F","SEDENA","0"
"Michoacán",14178,"2003","F","SEDENA","0"
"Morelos",14922,"2003","F","SEDENA","0"
"Nayarit",6635,"2003","F","SEDENA","2"
"Nuevo León",243,"2003","F","SEDENA","1"
"Oaxaca",2374,"2003","F","SEDENA","9"
"Puebla",7887,"2003","F","SEDENA","3"
"Querétaro",2259,"2003","F","SEDENA","0"
"Quintana Roo",54,"2003","F","SEDENA","0"
"San Luis Potosi",138,"2003","F","SEDENA","0"
"Sinaloa",4161,"2003","F","SEDENA","9"
"Sonora",6676,"2003","F","SEDENA","4"
"Tabasco",28,"2003","F","SEDENA","3"
"Tamaulipas",294,"2003","F","SEDENA","1"
"Tlaxcala",14,"2003","F","SEDENA","0"
"Veracruz",145,"2003","F","SEDENA","5"
"Yucatán",41,"2003","F","SEDENA","0"
"Zacatecas",1417,"2003","F","SEDENA","0"
"Aguascalientes",675,"2003","F","SEDEMAR","0"
"Baja California",42,"2003","F","SEDEMAR","0"
"Baja California Sur",39,"2003","F","SEDEMAR","0"
"Campeche",34,"2003","F","SEDEMAR","0"
"Coahuila",49,"2003","F","SEDEMAR","0"
"Colima",4644,"2003","F","SEDEMAR","48"
"Chiapas",110,"2003","F","SEDEMAR","0"
"Chihuahua",255,"2003","F","SEDEMAR","0"
"Distrito Federal",139,"2003","F","SEDEMAR","1"
"Durango",2708,"2003","F","SEDEMAR","0"
"Guanajuato",12773,"2003","F","SEDEMAR","0"
"Guerrero",11880,"2003","F","SEDEMAR","38"
"Hidalgo",156,"2003","F","SEDEMAR","0"
"Jalisco",23377,"2003","F","SEDEMAR","0"
"México",2813,"2003","F","SEDEMAR","0"
"Michoacán",14178,"2003","F","SEDEMAR","8"
"Morelos",14922,"2003","F","SEDEMAR","0"
"Nayarit",6635,"2003","F","SEDEMAR","1"
"Nuevo León",243,"2003","F","SEDEMAR","0"
"Oaxaca",2374,"2003","F","SEDEMAR","6"
"Puebla",7887,"2003","F","SEDEMAR","0"
"Querétaro",2259,"2003","F","SEDEMAR","0"
"Quintana Roo",54,"2003","F","SEDEMAR","0"
"San Luis Potosi",138,"2003","F","SEDEMAR","0"
"Sinaloa",4161,"2003","F","SEDEMAR","10"
"Sonora",6676,"2003","F","SEDEMAR","0"
"Tabasco",28,"2003","F","SEDEMAR","0"
"Tamaulipas",294,"2003","F","SEDEMAR","1"
"Tlaxcala",14,"2003","F","SEDEMAR","0"
"Veracruz",145,"2003","F","SEDEMAR","2"
"Yucatán",41,"2003","F","SEDEMAR","0"
"Zacatecas",1417,"2003","F","SEDEMAR","0"
"Aguascalientes",675,"2003","F","OTRAS","0"
"Baja California",42,"2003","F","OTRAS","11"
"Baja California Sur",39,"2003","F","OTRAS","0"
"Campeche",34,"2003","F","OTRAS","0"
"Coahuila",49,"2003","F","OTRAS","1"
"Colima",4644,"2003","F","OTRAS","0"
"Chiapas",110,"2003","F","OTRAS","2"
"Chihuahua",255,"2003","F","OTRAS","27"
"Distrito Federal",139,"2003","F","OTRAS","0"
"Durango",2708,"2003","F","OTRAS","0"
"Guanajuato",12773,"2003","F","OTRAS","3598"
"Guerrero",11880,"2003","F","OTRAS","2"
"Hidalgo",156,"2003","F","OTRAS","1"
"Jalisco",23377,"2003","F","OTRAS","1486"
"México",2813,"2003","F","OTRAS","148"
"Michoacán",14178,"2003","F","OTRAS","0"
"Morelos",14922,"2003","F","OTRAS","0"
"Nayarit",6635,"2003","F","OTRAS","0"
"Nuevo León",243,"2003","F","OTRAS","156"
"Oaxaca",2374,"2003","F","OTRAS","4"
"Puebla",7887,"2003","F","OTRAS","24"
"Querétaro",2259,"2003","F","OTRAS","13"
"Quintana Roo",54,"2003","F","OTRAS","0"
"San Luis Potosi",138,"2003","F","OTRAS","0"
"Sinaloa",4161,"2003","F","OTRAS","276"
"Sonora",6676,"2003","F","OTRAS","339"
"Tabasco",28,"2003","F","OTRAS","3"
"Tamaulipas",294,"2003","F","OTRAS","158"
"Tlaxcala",14,"2003","F","OTRAS","0"
"Veracruz",145,"2003","F","OTRAS","0"
"Yucatán",41,"2003","F","OTRAS","0"
"Zacatecas",1417,"2003","F","OTRAS","0"
"Aguascalientes",703,"2004","F","SALUD","683"
"Baja California",50,"2004","F","SALUD","14"
"Baja California Sur",48,"2004","F","SALUD","38"
"Campeche",20,"2004","F","SALUD","13"
"Coahuila",54,"2004","F","SALUD","11"
"Colima",4919,"2004","F","SALUD","3218"
"Chiapas",99,"2004","F","SALUD","62"
"Chihuahua",224,"2004","F","SALUD","90"
"Distrito Federal",190,"2004","F","SALUD","140"
"Durango",2571,"2004","F","SALUD","2134"
"Guanajuato",12404,"2004","F","SALUD","6265"
"Guerrero",14205,"2004","F","SALUD","12425"
"Hidalgo",145,"2004","F","SALUD","114"
"Jalisco",23440,"2004","F","SALUD","15444"
"México",2597,"2004","F","SALUD","2421"
"Michoacán",11890,"2004","F","SALUD","6979"
"Morelos",12054,"2004","F","SALUD","8338"
"Nayarit",6437,"2004","F","SALUD","4292"
"Nuevo León",182,"2004","F","SALUD","16"
"Oaxaca",2297,"2004","F","SALUD","1353"
"Puebla",7812,"2004","F","SALUD","5248"
"Querétaro",1996,"2004","F","SALUD","466"
"Quintana Roo",43,"2004","F","SALUD","16"
"San Luis Potosí",188,"2004","F","SALUD","47"
"Sinaloa",4308,"2004","F","SALUD","1771"
"Sonora",3282,"2004","F","SALUD","2177"
"Tabasco",17,"2004","F","SALUD","15"
"Tamaulipas",275,"2004","F","SALUD","104"
"Tlaxcala",28,"2004","F","SALUD","24"
"Veracruz",135,"2004","F","SALUD","72"
"Yucatán",25,"2004","F","SALUD","10"
"Zacatecas",1251,"2004","F","SALUD","921"
"Aguascalientes",703,"2004","F","IMSS-ORD","20"
"Baja California",50,"2004","F","IMSS-ORD","29"
"Baja California Sur",48,"2004","F","IMSS-ORD","0"
"Campeche",20,"2004","F","IMSS-ORD","1"
"Coahuila",54,"2004","F","IMSS-ORD","18"
"Colima",4919,"2004","F","IMSS-ORD","1558"
"Chiapas",99,"2004","F","IMSS-ORD","2"
"Chihuahua",224,"2004","F","IMSS-ORD","61"
"Distrito Federal",190,"2004","F","IMSS-ORD","15"
"Durango",2571,"2004","F","IMSS-ORD","16"
"Guanajuato",12404,"2004","F","IMSS-ORD","3114"
"Guerrero",14205,"2004","F","IMSS-ORD","1190"
"Hidalgo",145,"2004","F","IMSS-ORD","0"
"Jalisco",23440,"2004","F","IMSS-ORD","6373"
"México",2597,"2004","F","IMSS-ORD","12"
"Michoacán",11890,"2004","F","IMSS-ORD","1296"
"Morelos",12054,"2004","F","IMSS-ORD","3183"
"Nayarit",6437,"2004","F","IMSS-ORD","685"
"Nuevo León",182,"2004","F","IMSS-ORD","134"
"Oaxaca",2297,"2004","F","IMSS-ORD","69"
"Puebla",7812,"2004","F","IMSS-ORD","653"
"Querétaro",1996,"2004","F","IMSS-ORD","1495"
"Quintana Roo",43,"2004","F","IMSS-ORD","21"
"San Luis Potosí",188,"2004","F","IMSS-ORD","113"
"Sinaloa",4308,"2004","F","IMSS-ORD","881"
"Sonora",3282,"2004","F","IMSS-ORD","911"
"Tabasco",17,"2004","F","IMSS-ORD","0"
"Tamaulipas",275,"2004","F","IMSS-ORD","5"
"Tlaxcala",28,"2004","F","IMSS-ORD","4"
"Veracruz",135,"2004","F","IMSS-ORD","40"
"Yucatán",25,"2004","F","IMSS-ORD","1"
"Zacatecas",1251,"2004","F","IMSS-ORD","56"
"Aguascalientes",703,"2004","F","ISSSTE","0"
"Baja California",50,"2004","F","ISSSTE","4"
"Baja California Sur",48,"2004","F","ISSSTE","10"
"Campeche",20,"2004","F","ISSSTE","2"
"Coahuila",54,"2004","F","ISSSTE","0"
"Colima",4919,"2004","F","ISSSTE","55"
"Chiapas",99,"2004","F","ISSSTE","12"
"Chihuahua",224,"2004","F","ISSSTE","0"
"Distrito Federal",190,"2004","F","ISSSTE","34"
"Durango",2571,"2004","F","ISSSTE","12"
"Guanajuato",12404,"2004","F","ISSSTE","160"
"Guerrero",14205,"2004","F","ISSSTE","436"
"Hidalgo",145,"2004","F","ISSSTE","1"
"Jalisco",23440,"2004","F","ISSSTE","55"
"México",2597,"2004","F","ISSSTE","10"
"Michoacán",11890,"2004","F","ISSSTE","389"
"Morelos",12054,"2004","F","ISSSTE","533"
"Nayarit",6437,"2004","F","ISSSTE","48"
"Nuevo León",182,"2004","F","ISSSTE","0"
"Oaxaca",2297,"2004","F","ISSSTE","55"
"Puebla",7812,"2004","F","ISSSTE","84"
"Querétaro",1996,"2004","F","ISSSTE","20"
"Quintana Roo",43,"2004","F","ISSSTE","6"
"San Luis Potosí",188,"2004","F","ISSSTE","3"
"Sinaloa",4308,"2004","F","ISSSTE","89"
"Sonora",3282,"2004","F","ISSSTE","44"
"Tabasco",17,"2004","F","ISSSTE","1"
"Tamaulipas",275,"2004","F","ISSSTE","0"
"Tlaxcala",28,"2004","F","ISSSTE","0"
"Veracruz",135,"2004","F","ISSSTE","3"
"Yucatán",25,"2004","F","ISSSTE","0"
"Zacatecas",1251,"2004","F","ISSSTE","1"
"Aguascalientes",703,"2004","F","IMSS-OP","0"
"Baja California",50,"2004","F","IMSS-OP","1"
"Baja California Sur",48,"2004","F","IMSS-OP","0"
"Campeche",20,"2004","F","IMSS-OP","2"
"Coahuila",54,"2004","F","IMSS-OP","4"
"Colima",4919,"2004","F","IMSS-OP","0"
"Chiapas",99,"2004","F","IMSS-OP","15"
"Chihuahua",224,"2004","F","IMSS-OP","51"
"Distrito Federal",190,"2004","F","IMSS-OP","0"
"Durango",2571,"2004","F","IMSS-OP","406"
"Guanajuato",12404,"2004","F","IMSS-OP","0"
"Guerrero",14205,"2004","F","IMSS-OP","0"
"Hidalgo",145,"2004","F","IMSS-OP","26"
"Jalisco",23440,"2004","F","IMSS-OP","0"
"México",2597,"2004","F","IMSS-OP","0"
"Michoacán",11890,"2004","F","IMSS-OP","3214"
"Morelos",12054,"2004","F","IMSS-OP","0"
"Nayarit",6437,"2004","F","IMSS-OP","1399"
"Nuevo León",182,"2004","F","IMSS-OP","0"
"Oaxaca",2297,"2004","F","IMSS-OP","793"
"Puebla",7812,"2004","F","IMSS-OP","1787"
"Querétaro",1996,"2004","F","IMSS-OP","0"
"Quintana Roo",43,"2004","F","IMSS-OP","0"
"San Luis Potosí",188,"2004","F","IMSS-OP","22"
"Sinaloa",4308,"2004","F","IMSS-OP","1094"
"Sonora",3282,"2004","F","IMSS-OP","0"
"Tabasco",17,"2004","F","IMSS-OP","0"
"Tamaulipas",275,"2004","F","IMSS-OP","29"
"Tlaxcala",28,"2004","F","IMSS-OP","0"
"Veracruz",135,"2004","F","IMSS-OP","17"
"Yucatán",25,"2004","F","IMSS-OP","13"
"Zacatecas",1251,"2004","F","IMSS-OP","272"
"Aguascalientes",703,"2004","F","DIF","0"
"Baja California",50,"2004","F","DIF","0"
"Baja California Sur",48,"2004","F","DIF","0"
"Campeche",20,"2004","F","DIF","0"
"Coahuila",54,"2004","F","DIF","0"
"Colima",4919,"2004","F","DIF","0"
"Chiapas",99,"2004","F","DIF","0"
"Chihuahua",224,"2004","F","DIF","0"
"Distrito Federal",190,"2004","F","DIF","0"
"Durango",2571,"2004","F","DIF","0"
"Guanajuato",12404,"2004","F","DIF","0"
"Guerrero",14205,"2004","F","DIF","0"
"Hidalgo",145,"2004","F","DIF","0"
"Jalisco",23440,"2004","F","DIF","1"
"México",2597,"2004","F","DIF","1"
"Michoacán",11890,"2004","F","DIF","0"
"Morelos",12054,"2004","F","DIF","0"
"Nayarit",6437,"2004","F","DIF","1"
"Nuevo León",182,"2004","F","DIF","0"
"Oaxaca",2297,"2004","F","DIF","0"
"Puebla",7812,"2004","F","DIF","0"
"Querétaro",1996,"2004","F","DIF","0"
"Quintana Roo",43,"2004","F","DIF","0"
"San Luis Potosí",188,"2004","F","DIF","0"
"Sinaloa",4308,"2004","F","DIF","13"
"Sonora",3282,"2004","F","DIF","0"
"Tabasco",17,"2004","F","DIF","0"
"Tamaulipas",275,"2004","F","DIF","0"
"Tlaxcala",28,"2004","F","DIF","0"
"Veracruz",135,"2004","F","DIF","0"
"Yucatán",25,"2004","F","DIF","0"
"Zacatecas",1251,"2004","F","DIF","0"
"Aguascalientes",703,"2004","F","PEMEX","0"
"Baja California",50,"2004","F","PEMEX","0"
"Baja California Sur",48,"2004","F","PEMEX","0"
"Campeche",20,"2004","F","PEMEX","0"
"Coahuila",54,"2004","F","PEMEX","0"
"Colima",4919,"2004","F","PEMEX","0"
"Chiapas",99,"2004","F","PEMEX","0"
"Chihuahua",224,"2004","F","PEMEX","0"
"Distrito Federal",190,"2004","F","PEMEX","0"
"Durango",2571,"2004","F","PEMEX","0"
"Guanajuato",12404,"2004","F","PEMEX","0"
"Guerrero",14205,"2004","F","PEMEX","0"
"Hidalgo",145,"2004","F","PEMEX","0"
"Jalisco",23440,"2004","F","PEMEX","0"
"México",2597,"2004","F","PEMEX","0"
"Michoacán",11890,"2004","F","PEMEX","0"
"Morelos",12054,"2004","F","PEMEX","0"
"Nayarit",6437,"2004","F","PEMEX","0"
"Nuevo León",182,"2004","F","PEMEX","0"
"Oaxaca",2297,"2004","F","PEMEX","1"
"Puebla",7812,"2004","F","PEMEX","0"
"Querétaro",1996,"2004","F","PEMEX","0"
"Quintana Roo",43,"2004","F","PEMEX","0"
"San Luis Potosí",188,"2004","F","PEMEX","1"
"Sinaloa",4308,"2004","F","PEMEX","0"
"Sonora",3282,"2004","F","PEMEX","0"
"Tabasco",17,"2004","F","PEMEX","1"
"Tamaulipas",275,"2004","F","PEMEX","6"
"Tlaxcala",28,"2004","F","PEMEX","0"
"Veracruz",135,"2004","F","PEMEX","0"
"Yucatán",25,"2004","F","PEMEX","0"
"Zacatecas",1251,"2004","F","PEMEX","0"
"Aguascalientes",703,"2004","F","SEDENA","0"
"Baja California",50,"2004","F","SEDENA","0"
"Baja California Sur",48,"2004","F","SEDENA","0"
"Campeche",20,"2004","F","SEDENA","0"
"Coahuila",54,"2004","F","SEDENA","0"
"Colima",4919,"2004","F","SEDENA","6"
"Chiapas",99,"2004","F","SEDENA","1"
"Chihuahua",224,"2004","F","SEDENA","0"
"Distrito Federal",190,"2004","F","SEDENA","0"
"Durango",2571,"2004","F","SEDENA","3"
"Guanajuato",12404,"2004","F","SEDENA","35"
"Guerrero",14205,"2004","F","SEDENA","109"
"Hidalgo",145,"2004","F","SEDENA","0"
"Jalisco",23440,"2004","F","SEDENA","32"
"México",2597,"2004","F","SEDENA","2"
"Michoacán",11890,"2004","F","SEDENA","0"
"Morelos",12054,"2004","F","SEDENA","0"
"Nayarit",6437,"2004","F","SEDENA","2"
"Nuevo León",182,"2004","F","SEDENA","0"
"Oaxaca",2297,"2004","F","SEDENA","6"
"Puebla",7812,"2004","F","SEDENA","0"
"Querétaro",1996,"2004","F","SEDENA","0"
"Quintana Roo",43,"2004","F","SEDENA","0"
"San Luis Potosí",188,"2004","F","SEDENA","0"
"Sinaloa",4308,"2004","F","SEDENA","10"
"Sonora",3282,"2004","F","SEDENA","3"
"Tabasco",17,"2004","F","SEDENA","0"
"Tamaulipas",275,"2004","F","SEDENA","3"
"Tlaxcala",28,"2004","F","SEDENA","0"
"Veracruz",135,"2004","F","SEDENA","1"
"Yucatán",25,"2004","F","SEDENA","0"
"Zacatecas",1251,"2004","F","SEDENA","1"
"Aguascalientes",703,"2004","F","SEMAR","0"
"Baja California",50,"2004","F","SEMAR","0"
"Baja California Sur",48,"2004","F","SEMAR","0"
"Campeche",20,"2004","F","SEMAR","0"
"Coahuila",54,"2004","F","SEMAR","0"
"Colima",4919,"2004","F","SEMAR","42"
"Chiapas",99,"2004","F","SEMAR","0"
"Chihuahua",224,"2004","F","SEMAR","0"
"Distrito Federal",190,"2004","F","SEMAR","1"
"Durango",2571,"2004","F","SEMAR","0"
"Guanajuato",12404,"2004","F","SEMAR","0"
"Guerrero",14205,"2004","F","SEMAR","44"
"Hidalgo",145,"2004","F","SEMAR","0"
"Jalisco",23440,"2004","F","SEMAR","1"
"México",2597,"2004","F","SEMAR","0"
"Michoacán",11890,"2004","F","SEMAR","12"
"Morelos",12054,"2004","F","SEMAR","0"
"Nayarit",6437,"2004","F","SEMAR","0"
"Nuevo León",182,"2004","F","SEMAR","0"
"Oaxaca",2297,"2004","F","SEMAR","17"
"Puebla",7812,"2004","F","SEMAR","0"
"Querétaro",1996,"2004","F","SEMAR","0"
"Quintana Roo",43,"2004","F","SEMAR","0"
"San Luis Potosí",188,"2004","F","SEMAR","0"
"Sinaloa",4308,"2004","F","SEMAR","9"
"Sonora",3282,"2004","F","SEMAR","0"
"Tabasco",17,"2004","F","SEMAR","0"
"Tamaulipas",275,"2004","F","SEMAR","0"
"Tlaxcala",28,"2004","F","SEMAR","0"
"Veracruz",135,"2004","F","SEMAR","2"
"Yucatán",25,"2004","F","SEMAR","0"
"Zacatecas",1251,"2004","F","SEMAR","0"
"Aguascalientes",703,"2004","F","OTRAS","0"
"Baja California",50,"2004","F","OTRAS","2"
"Baja California Sur",48,"2004","F","OTRAS","0"
"Campeche",20,"2004","F","OTRAS","2"
"Coahuila",54,"2004","F","OTRAS","21"
"Colima",4919,"2004","F","OTRAS","40"
"Chiapas",99,"2004","F","OTRAS","7"
"Chihuahua",224,"2004","F","OTRAS","22"
