"Estado","a�o","sexo","cortes.edad","numerocasos"
"Puebla","2003","F","15 - 19",933
"Querétaro","2003","F","15 - 19",227
"Quintana Roo","2003","F","15 - 19",6
"San Luis Potosi","2003","F","15 - 19",11
"Sinaloa","2003","F","15 - 19",415
"Sonora","2003","F","15 - 19",383
"Tabasco","2003","F","15 - 19",3
"Tamaulipas","2003","F","15 - 19",25
"Tlaxcala","2003","F","15 - 19",1
"Veracruz","2003","F","15 - 19",17
"Yucatán","2003","F","15 - 19",4
"Zacatecas","2003","F","15 - 19",218
"Aguascalientes","2003","F","20 - 24",73
"Baja California","2003","F","20 - 24",5
"Baja California Sur","2003","F","20 - 24",7
"Campeche","2003","F","20 - 24",1
"Coahuila","2003","F","20 - 24",7
"Colima","2003","F","20 - 24",497
"Chiapas","2003","F","20 - 24",7
"Chihuahua","2003","F","20 - 24",24
"Distrito Federal","2003","F","20 - 24",16
"Durango","2003","F","20 - 24",300
"Guanajuato","2003","F","20 - 24",1504
"Guerrero","2003","F","20 - 24",1140
"Hidalgo","2003","F","20 - 24",20
"Jalisco","2003","F","20 - 24",2437
"México","2003","F","20 - 24",221
"Michoacán","2003","F","20 - 24",1427
"Morelos","2003","F","20 - 24",1679
"Nayarit","2003","F","20 - 24",679
"Nuevo León","2003","F","20 - 24",27
"Oaxaca","2003","F","20 - 24",209
"Puebla","2003","F","20 - 24",769
"Querétaro","2003","F","20 - 24",282
"Quintana Roo","2003","F","20 - 24",5
"San Luis Potosi","2003","F","20 - 24",9
"Sinaloa","2003","F","20 - 24",411
"Sonora","2003","F","20 - 24",474
"Tabasco","2003","F","20 - 24",3
"Tamaulipas","2003","F","20 - 24",23
"Tlaxcala","2003","F","20 - 24",3
"Veracruz","2003","F","20 - 24",17
"Yucatán","2003","F","20 - 24",2
"Zacatecas","2003","F","20 - 24",127
"Aguascalientes","2003","F","25 - 44",180
"Baja California","2003","F","25 - 44",16
"Baja California Sur","2003","F","25 - 44",9
"Campeche","2003","F","25 - 44",9
"Coahuila","2003","F","25 - 44",22
"Colima","2003","F","25 - 44",1437
"Chiapas","2003","F","25 - 44",38
"Chihuahua","2003","F","25 - 44",75
"Distrito Federal","2003","F","25 - 44",49
"Durango","2003","F","25 - 44",753
"Guanajuato","2003","F","25 - 44",3669
"Guerrero","2003","F","25 - 44",2785
"Hidalgo","2003","F","25 - 44",54
"Jalisco","2003","F","25 - 44",6739
"México","2003","F","25 - 44",617
"Michoacán","2003","F","25 - 44",3534
"Morelos","2003","F","25 - 44",3965
"Nayarit","2003","F","25 - 44",1853
"Nuevo León","2003","F","25 - 44",74
"Oaxaca","2003","F","25 - 44",637
"Puebla","2003","F","25 - 44",1942
"Querétaro","2003","F","25 - 44",772
"Quintana Roo","2003","F","25 - 44",27
"San Luis Potosi","2003","F","25 - 44",54
"Sinaloa","2003","F","25 - 44",1265
"Sonora","2003","F","25 - 44",1749
"Tabasco","2003","F","25 - 44",8
"Tamaulipas","2003","F","25 - 44",51
"Tlaxcala","2003","F","25 - 44",5
"Veracruz","2003","F","25 - 44",48
"Yucatán","2003","F","25 - 44",12
"Zacatecas","2003","F","25 - 44",331
"Aguascalientes","2003","F","45 - 49",41
"Baja California","2003","F","45 - 49",2
"Baja California Sur","2003","F","45 - 49",2
"Campeche","2003","F","45 - 49",3
"Coahuila","2003","F","45 - 49",1
"Colima","2003","F","45 - 49",228
"Chiapas","2003","F","45 - 49",6
"Chihuahua","2003","F","45 - 49",16
"Distrito Federal","2003","F","45 - 49",6
"Durango","2003","F","45 - 49",147
"Guanajuato","2003","F","45 - 49",539
"Guerrero","2003","F","45 - 49",609
"Hidalgo","2003","F","45 - 49",10
"Jalisco","2003","F","45 - 49",1087
"México","2003","F","45 - 49",107
"Michoacán","2003","F","45 - 49",681
"Morelos","2003","F","45 - 49",814
"Nayarit","2003","F","45 - 49",296
"Nuevo León","2003","F","45 - 49",10
"Oaxaca","2003","F","45 - 49",133
"Puebla","2003","F","45 - 49",367
"Querétaro","2003","F","45 - 49",97
"Quintana Roo","2003","F","45 - 49",2
"San Luis Potosi","2003","F","45 - 49",10
"Sinaloa","2003","F","45 - 49",226
"Sonora","2003","F","45 - 49",294
"Tabasco","2003","F","45 - 49",2
"Tamaulipas","2003","F","45 - 49",12
"Tlaxcala","2003","F","45 - 49",0
"Veracruz","2003","F","45 - 49",9
"Yucatán","2003","F","45 - 49",2
"Zacatecas","2003","F","45 - 49",63
"Aguascalientes","2003","F","50 - 59",47
"Baja California","2003","F","50 - 59",3
"Baja California Sur","2003","F","50 - 59",5
"Campeche","2003","F","50 - 59",4
"Coahuila","2003","F","50 - 59",1
"Colima","2003","F","50 - 59",351
"Chiapas","2003","F","50 - 59",13
"Chihuahua","2003","F","50 - 59",14
"Distrito Federal","2003","F","50 - 59",9
"Durango","2003","F","50 - 59",184
"Guanajuato","2003","F","50 - 59",694
"Guerrero","2003","F","50 - 59",739
"Hidalgo","2003","F","50 - 59",15
"Jalisco","2003","F","50 - 59",1528
"México","2003","F","50 - 59",163
"Michoacán","2003","F","50 - 59",877
"Morelos","2003","F","50 - 59",979
"Nayarit","2003","F","50 - 59",428
"Nuevo León","2003","F","50 - 59",9
"Oaxaca","2003","F","50 - 59",177
"Puebla","2003","F","50 - 59",609
"Querétaro","2003","F","50 - 59",120
"Quintana Roo","2003","F","50 - 59",2
"San Luis Potosi","2003","F","50 - 59",13
"Sinaloa","2003","F","50 - 59",318
"Sonora","2003","F","50 - 59",585
"Tabasco","2003","F","50 - 59",1
"Tamaulipas","2003","F","50 - 59",5
"Tlaxcala","2003","F","50 - 59",0
"Veracruz","2003","F","50 - 59",6
"Yucatán","2003","F","50 - 59",0
"Zacatecas","2003","F","50 - 59",87
"Aguascalientes","2003","F","60 - 64",11
"Baja California","2003","F","60 - 64",0
"Baja California Sur","2003","F","60 - 64",0
"Campeche","2003","F","60 - 64",0
"Coahuila","2003","F","60 - 64",0
"Colima","2003","F","60 - 64",128
"Chiapas","2003","F","60 - 64",3
"Chihuahua","2003","F","60 - 64",4
"Distrito Federal","2003","F","60 - 64",4
"Durango","2003","F","60 - 64",89
"Guanajuato","2003","F","60 - 64",233
"Guerrero","2003","F","60 - 64",370
"Hidalgo","2003","F","60 - 64",4
"Jalisco","2003","F","60 - 64",595
"México","2003","F","60 - 64",78
"Michoacán","2003","F","60 - 64",336
"Morelos","2003","F","60 - 64",387
"Nayarit","2003","F","60 - 64",181
"Nuevo León","2003","F","60 - 64",2
"Oaxaca","2003","F","60 - 64",94
"Puebla","2003","F","60 - 64",254
"Querétaro","2003","F","60 - 64",52
"Quintana Roo","2003","F","60 - 64",0
"San Luis Potosi","2003","F","60 - 64",2
"Sinaloa","2003","F","60 - 64",141
"Sonora","2003","F","60 - 64",209
"Tabasco","2003","F","60 - 64",0
"Tamaulipas","2003","F","60 - 64",7
"Tlaxcala","2003","F","60 - 64",0
"Veracruz","2003","F","60 - 64",3
"Yucatán","2003","F","60 - 64",2
"Zacatecas","2003","F","60 - 64",51
"Aguascalientes","2003","F","65 y +",41
"Baja California","2003","F","65 y +",1
"Baja California Sur","2003","F","65 y +",0
"Campeche","2003","F","65 y +",0
"Coahuila","2003","F","65 y +",0
"Colima","2003","F","65 y +",224
"Chiapas","2003","F","65 y +",0
"Chihuahua","2003","F","65 y +",8
"Distrito Federal","2003","F","65 y +",2
"Durango","2003","F","65 y +",133
"Guanajuato","2003","F","65 y +",558
"Guerrero","2003","F","65 y +",584
"Hidalgo","2003","F","65 y +",5
"Jalisco","2003","F","65 y +",1169
"México","2003","F","65 y +",110
"Michoacán","2003","F","65 y +",661
"Morelos","2003","F","65 y +",753
"Nayarit","2003","F","65 y +",324
"Nuevo León","2003","F","65 y +",3
"Oaxaca","2003","F","65 y +",200
"Puebla","2003","F","65 y +",655
"Querétaro","2003","F","65 y +",109
"Quintana Roo","2003","F","65 y +",3
"San Luis Potosi","2003","F","65 y +",10
"Sinaloa","2003","F","65 y +",221
"Sonora","2003","F","65 y +",509
"Tabasco","2003","F","65 y +",0
"Tamaulipas","2003","F","65 y +",9
"Tlaxcala","2003","F","65 y +",0
"Veracruz","2003","F","65 y +",8
"Yucatán","2003","F","65 y +",2
"Zacatecas","2003","F","65 y +",102
"Aguascalientes","2003","F","Ign.",0
"Baja California","2003","F","Ign.",0
"Baja California Sur","2003","F","Ign.",0
"Campeche","2003","F","Ign.",0
"Coahuila","2003","F","Ign.",0
"Colima","2003","F","Ign.",11
"Chiapas","2003","F","Ign.",0
"Chihuahua","2003","F","Ign.",0
"Distrito Federal","2003","F","Ign.",0
"Durango","2003","F","Ign.",3
"Guanajuato","2003","F","Ign.",128
"Guerrero","2003","F","Ign.",9
"Hidalgo","2003","F","Ign.",0
"Jalisco","2003","F","Ign.",13
"México","2003","F","Ign.",1
"Michoacán","2003","F","Ign.",15
"Morelos","2003","F","Ign.",26
"Nayarit","2003","F","Ign.",5
"Nuevo León","2003","F","Ign.",0
"Oaxaca","2003","F","Ign.",0
"Puebla","2003","F","Ign.",1
"Querétaro","2003","F","Ign.",2
"Quintana Roo","2003","F","Ign.",1
"San Luis Potosi","2003","F","Ign.",0
"Sinaloa","2003","F","Ign.",8
"Sonora","2003","F","Ign.",0
"Tabasco","2003","F","Ign.",0
"Tamaulipas","2003","F","Ign.",125
"Tlaxcala","2003","F","Ign.",0
"Veracruz","2003","F","Ign.",0
"Yucatán","2003","F","Ign.",0
"Zacatecas","2003","F","Ign.",1
"Aguascalientes","2003","F","Total",675
"Baja California","2003","F","Total",42
"Baja California Sur","2003","F","Total",39
"Campeche","2003","F","Total",34
"Coahuila","2003","F","Total",49
"Colima","2003","F","Total",4644
"Chiapas","2003","F","Total",110
"Chihuahua","2003","F","Total",255
"Distrito Federal","2003","F","Total",139
"Durango","2003","F","Total",2708
"Guanajuato","2003","F","Total",12773
"Guerrero","2003","F","Total",11880
"Hidalgo","2003","F","Total",156
"Jalisco","2003","F","Total",23377
"México","2003","F","Total",2813
"Michoacán","2003","F","Total",14178
"Morelos","2003","F","Total",14922
"Nayarit","2003","F","Total",6635
"Nuevo León","2003","F","Total",243
"Oaxaca","2003","F","Total",2374
"Puebla","2003","F","Total",7887
"Querétaro","2003","F","Total",2259
"Quintana Roo","2003","F","Total",54
"San Luis Potosi","2003","F","Total",138
"Sinaloa","2003","F","Total",4161
"Sonora","2003","F","Total",6676
"Tabasco","2003","F","Total",28
"Tamaulipas","2003","F","Total",294
"Tlaxcala","2003","F","Total",14
"Veracruz","2003","F","Total",145
"Yucatán","2003","F","Total",41
"Zacatecas","2003","F","Total",1417
"Aguascalientes","2004","F","<1",2
"Baja California","2004","F","<1",7
"Baja California Sur","2004","F","<1",0
"Campeche","2004","F","<1",0
"Coahuila","2004","F","<1",0
"Colima","2004","F","<1",27
"Chiapas","2004","F","<1",2
"Chihuahua","2004","F","<1",3
"Distrito Federal","2004","F","<1",0
"Durango","2004","F","<1",15
"Guanajuato","2004","F","<1",92
"Guerrero","2004","F","<1",134
"Hidalgo","2004","F","<1",0
"Jalisco","2004","F","<1",179
"México","2004","F","<1",26
"Michoacán","2004","F","<1",135
"Morelos","2004","F","<1",137
"Nayarit","2004","F","<1",54
"Nuevo León","2004","F","<1",0
"Oaxaca","2004","F","<1",14
"Puebla","2004","F","<1",43
"Querétaro","2004","F","<1",42
"Quintana Roo","2004","F","<1",0
"San Luis Potosí","2004","F","<1",0
"Sinaloa","2004","F","<1",35
"Sonora","2004","F","<1",36
"Tabasco","2004","F","<1",0
"Tamaulipas","2004","F","<1",1
"Tlaxcala","2004","F","<1",0
"Veracruz","2004","F","<1",7
"Yucatán","2004","F","<1",0
"Zacatecas","2004","F","<1",8
"Aguascalientes","2004","F","1-4",54
"Baja California","2004","F","1-4",3
"Baja California Sur","2004","F","1-4",0
"Campeche","2004","F","1-4",0
"Coahuila","2004","F","1-4",6
"Colima","2004","F","1-4",304
"Chiapas","2004","F","1-4",8
"Chihuahua","2004","F","1-4",16
"Distrito Federal","2004","F","1-4",15
"Durango","2004","F","1-4",192
"Guanajuato","2004","F","1-4",865
"Guerrero","2004","F","1-4",1366
"Hidalgo","2004","F","1-4",4
"Jalisco","2004","F","1-4",1812
"México","2004","F","1-4",320
"Michoacán","2004","F","1-4",1090
"Morelos","2004","F","1-4",1126
"Nayarit","2004","F","1-4",541
"Nuevo León","2004","F","1-4",7
"Oaxaca","2004","F","1-4",157
"Puebla","2004","F","1-4",555
"Querétaro","2004","F","1-4",147
"Quintana Roo","2004","F","1-4",2
"San Luis Potosí","2004","F","1-4",7
"Sinaloa","2004","F","1-4",370
"Sonora","2004","F","1-4",336
"Tabasco","2004","F","1-4",2
"Tamaulipas","2004","F","1-4",7
"Tlaxcala","2004","F","1-4",2
"Veracruz","2004","F","1-4",5
"Yucatán","2004","F","1-4",1
"Zacatecas","2004","F","1-4",88
"Aguascalientes","2004","F","5-9",62
"Baja California","2004","F","5-9",3
"Baja California Sur","2004","F","5-9",2
"Campeche","2004","F","5-9",0
"Coahuila","2004","F","5-9",4
"Colima","2004","F","5-9",376
"Chiapas","2004","F","5-9",4
"Chihuahua","2004","F","5-9",20
"Distrito Federal","2004","F","5-9",10
"Durango","2004","F","5-9",249
"Guanajuato","2004","F","5-9",1152
"Guerrero","2004","F","5-9",1731
"Hidalgo","2004","F","5-9",14
"Jalisco","2004","F","5-9",2187
"México","2004","F","5-9",369
"Michoacán","2004","F","5-9",1423
"Morelos","2004","F","5-9",1295
"Nayarit","2004","F","5-9",715
"Nuevo León","2004","F","5-9",4
"Oaxaca","2004","F","5-9",240
"Puebla","2004","F","5-9",741
"Querétaro","2004","F","5-9",113
"Quintana Roo","2004","F","5-9",1
"San Luis Potosí","2004","F","5-9",6
"Sinaloa","2004","F","5-9",349
"Sonora","2004","F","5-9",322
"Tabasco","2004","F","5-9",0
"Tamaulipas","2004","F","5-9",17
"Tlaxcala","2004","F","5-9",0
"Veracruz","2004","F","5-9",11
"Yucatán","2004","F","5-9",0
"Zacatecas","2004","F","5-9",128
"Aguascalientes","2004","F","10 - 14",93
"Baja California","2004","F","10 - 14",3
"Baja California Sur","2004","F","10 - 14",3
"Campeche","2004","F","10 - 14",5
"Coahuila","2004","F","10 - 14",3
"Colima","2004","F","10 - 14",527
"Chiapas","2004","F","10 - 14",8
"Chihuahua","2004","F","10 - 14",18
"Distrito Federal","2004","F","10 - 14",28
"Durango","2004","F","10 - 14",279
"Guanajuato","2004","F","10 - 14",1405
"Guerrero","2004","F","10 - 14",1733
"Hidalgo","2004","F","10 - 14",17
"Jalisco","2004","F","10 - 14",2752
"México","2004","F","10 - 14",341
"Michoacán","2004","F","10 - 14",1478
"Morelos","2004","F","10 - 14",1453
"Nayarit","2004","F","10 - 14",719
"Nuevo León","2004","F","10 - 14",12
"Oaxaca","2004","F","10 - 14",276
"Puebla","2004","F","10 - 14",950
"Querétaro","2004","F","10 - 14",207
"Quintana Roo","2004","F","10 - 14",7
"San Luis Potosí","2004","F","10 - 14",14
"Sinaloa","2004","F","10 - 14",413
"Sonora","2004","F","10 - 14",317
"Tabasco","2004","F","10 - 14",2
"Tamaulipas","2004","F","10 - 14",23
"Tlaxcala","2004","F","10 - 14",16
"Veracruz","2004","F","10 - 14",7
"Yucatán","2004","F","10 - 14",2
"Zacatecas","2004","F","10 - 14",142
"Aguascalientes","2004","F","15 - 19",96
"Baja California","2004","F","15 - 19",5
"Baja California Sur","2004","F","15 - 19",7
"Campeche","2004","F","15 - 19",4
"Coahuila","2004","F","15 - 19",7
"Colima","2004","F","15 - 19",585
"Chiapas","2004","F","15 - 19",7
"Chihuahua","2004","F","15 - 19",20
"Distrito Federal","2004","F","15 - 19",18
"Durango","2004","F","15 - 19",324
"Guanajuato","2004","F","15 - 19",1576
"Guerrero","2004","F","15 - 19",1579
"Hidalgo","2004","F","15 - 19",12
"Jalisco","2004","F","15 - 19",2711
"México","2004","F","15 - 19",289
"Michoacán","2004","F","15 - 19",1455
"Morelos","2004","F","15 - 19",1303
"Nayarit","2004","F","15 - 19",705
"Nuevo León","2004","F","15 - 19",9
"Oaxaca","2004","F","15 - 19",234
"Puebla","2004","F","15 - 19",834
"Querétaro","2004","F","15 - 19",159
"Quintana Roo","2004","F","15 - 19",2
"San Luis Potosí","2004","F","15 - 19",16
"Sinaloa","2004","F","15 - 19",477
"Sonora","2004","F","15 - 19",310
"Tabasco","2004","F","15 - 19",2
"Tamaulipas","2004","F","15 - 19",16
"Tlaxcala","2004","F","15 - 19",1
"Veracruz","2004","F","15 - 19",13
"Yucatán","2004","F","15 - 19",8
"Zacatecas","2004","F","15 - 19",154
"Aguascalientes","2004","F","20 - 24",88
"Baja California","2004","F","20 - 24",3
"Baja California Sur","2004","F","20 - 24",5
"Campeche","2004","F","20 - 24",2
"Coahuila","2004","F","20 - 24",7
"Colima","2004","F","20 - 24",581
"Chiapas","2004","F","20 - 24",13
"Chihuahua","2004","F","20 - 24",20
"Distrito Federal","2004","F","20 - 24",28
"Durango","2004","F","20 - 24",294
"Guanajuato","2004","F","20 - 24",1476
"Guerrero","2004","F","20 - 24",1354
"Hidalgo","2004","F","20 - 24",12
"Jalisco","2004","F","20 - 24",2404
"México","2004","F","20 - 24",225
"Michoacán","2004","F","20 - 24",1217
"Morelos","2004","F","20 - 24",1331
"Nayarit","2004","F","20 - 24",664
"Nuevo León","2004","F","20 - 24",16
"Oaxaca","2004","F","20 - 24",227
"Puebla","2004","F","20 - 24",774
"Querétaro","2004","F","20 - 24",245
"Quintana Roo","2004","F","20 - 24",3
"San Luis Potosí","2004","F","20 - 24",18
"Sinaloa","2004","F","20 - 24",444
"Sonora","2004","F","20 - 24",341
"Tabasco","2004","F","20 - 24",9
"Tamaulipas","2004","F","20 - 24",17
"Tlaxcala","2004","F","20 - 24",2
"Veracruz","2004","F","20 - 24",13
"Yucatán","2004","F","20 - 24",4
"Zacatecas","2004","F","20 - 24",116
"Aguascalientes","2004","F","25 - 44",177
"Baja California","2004","F","25 - 44",13
"Baja California Sur","2004","F","25 - 44",14
"Campeche","2004","F","25 - 44",8
"Coahuila","2004","F","25 - 44",21
"Colima","2004","F","25 - 44",1590
"Chiapas","2004","F","25 - 44",31
"Chihuahua","2004","F","25 - 44",74
"Distrito Federal","2004","F","25 - 44",65
"Durango","2004","F","25 - 44",732
"Guanajuato","2004","F","25 - 44",3731
"Guerrero","2004","F","25 - 44",3535
"Hidalgo","2004","F","25 - 44",54
"Jalisco","2004","F","25 - 44",6794
"México","2004","F","25 - 44",625
"Michoacán","2004","F","25 - 44",2917
"Morelos","2004","F","25 - 44",3051
"Nayarit","2004","F","25 - 44",1697
"Nuevo León","2004","F","25 - 44",44
"Oaxaca","2004","F","25 - 44",561
"Puebla","2004","F","25 - 44",1760
"Querétaro","2004","F","25 - 44",750
"Quintana Roo","2004","F","25 - 44",23
"San Luis Potosí","2004","F","25 - 44",66
"Sinaloa","2004","F","25 - 44",1301
"Sonora","2004","F","25 - 44",926
"Tabasco","2004","F","25 - 44",2
"Tamaulipas","2004","F","25 - 44",60
"Tlaxcala","2004","F","25 - 44",5
"Veracruz","2004","F","25 - 44",41
"Yucatán","2004","F","25 - 44",7
"Zacatecas","2004","F","25 - 44",300
"Aguascalientes","2004","F","45 - 49",25
"Baja California","2004","F","45 - 49",4
"Baja California Sur","2004","F","45 - 49",4
"Campeche","2004","F","45 - 49",0
"Coahuila","2004","F","45 - 49",2
"Colima","2004","F","45 - 49",231
"Chiapas","2004","F","45 - 49",9
"Chihuahua","2004","F","45 - 49",7
"Distrito Federal","2004","F","45 - 49",11
"Durango","2004","F","45 - 49",123
"Guanajuato","2004","F","45 - 49",560
"Guerrero","2004","F","45 - 49",694
"Hidalgo","2004","F","45 - 49",9
"Jalisco","2004","F","45 - 49",1019
"México","2004","F","45 - 49",97
"Michoacán","2004","F","45 - 49",512
"Morelos","2004","F","45 - 49",611
"Nayarit","2004","F","45 - 49",345
"Nuevo León","2004","F","45 - 49",9
"Oaxaca","2004","F","45 - 49",114
"Puebla","2004","F","45 - 49",378
"Querétaro","2004","F","45 - 49",79
"Quintana Roo","2004","F","45 - 49",2
"San Luis Potosí","2004","F","45 - 49",13
"Sinaloa","2004","F","45 - 49",197
"Sonora","2004","F","45 - 49",200
"Tabasco","2004","F","45 - 49",0
"Tamaulipas","2004","F","45 - 49",8
"Tlaxcala","2004","F","45 - 49",0
"Veracruz","2004","F","45 - 49",12
"Yucatán","2004","F","45 - 49",0
"Zacatecas","2004","F","45 - 49",52
"Aguascalientes","2004","F","50 - 59",37
"Baja California","2004","F","50 - 59",6
"Baja California Sur","2004","F","50 - 59",8
"Campeche","2004","F","50 - 59",0
"Coahuila","2004","F","50 - 59",3
"Colima","2004","F","50 - 59",292
"Chiapas","2004","F","50 - 59",8
"Chihuahua","2004","F","50 - 59",19
"Distrito Federal","2004","F","50 - 59",7
"Durango","2004","F","50 - 59",171
"Guanajuato","2004","F","50 - 59",749
"Guerrero","2004","F","50 - 59",888
"Hidalgo","2004","F","50 - 59",12
"Jalisco","2004","F","50 - 59",1563
"México","2004","F","50 - 59",112
"Michoacán","2004","F","50 - 59",674
"Morelos","2004","F","50 - 59",774
"Nayarit","2004","F","50 - 59",407
"Nuevo León","2004","F","50 - 59",18
"Oaxaca","2004","F","50 - 59",178
"Puebla","2004","F","50 - 59",557
"Querétaro","2004","F","50 - 59",129
"Quintana Roo","2004","F","50 - 59",2
"San Luis Potosí","2004","F","50 - 59",30
"Sinaloa","2004","F","50 - 59",323
"Sonora","2004","F","50 - 59",229
"Tabasco","2004","F","50 - 59",0
"Tamaulipas","2004","F","50 - 59",14
"Tlaxcala","2004","F","50 - 59",0
"Veracruz","2004","F","50 - 59",8
"Yucatán","2004","F","50 - 59",2
"Zacatecas","2004","F","50 - 59",95
"Aguascalientes","2004","F","60 - 64",19
"Baja California","2004","F","60 - 64",1
"Baja California Sur","2004","F","60 - 64",2
"Campeche","2004","F","60 - 64",0
"Coahuila","2004","F","60 - 64",1
"Colima","2004","F","60 - 64",130
"Chiapas","2004","F","60 - 64",3
"Chihuahua","2004","F","60 - 64",13
"Distrito Federal","2004","F","60 - 64",2
